Organism                                                      Scaffold              Start    End      Score  LMOf2365_1112  LMOf2365_1113  LMOf2365_1114  LMOf2365_1115  LMOf2365_1116  LMOf2365_1117  LMOf2365_1118  LMOf2365_1119
Lactobacillus crispatus UMB10498                              NZ_JASOFN010000095.1  566      4326     9.09   0              1              1              1              1              1              0              0            
Lactobacillus crispatus PMC201                                NZ_CP076522.1         2277160  2287650  7.08   0              1              0              1              1              1              0              1            
Limosilactobacillus fermentum FOSU-YHD19                      NZ_CP160833.1         726767   732286   13.14  0              1              1              1              1              1              1              1            
Staphylococcus ureilyticus 1319-1                             NZ_JBFSYG010000001.1  213655   216157   4.06   0              1              1              0              1              0              0              0            
Sporosarcina sp. OR05                                         NZ_JANKJL010000013.1  58601    63910    8.11   0              1              1              0              1              1              1              0            
Actinomyces naeslundii 27098_8_156                            NZ_JAPWCK010000010.1  139035   140997   5.04   0              1              1              1              0              0              0              0            
Listeria innocua Lin_NWU_CNKT                                 CP168261.1            868931   870920   5.12   0              1              1              1              0              0              0              0            
Marinilactibacillus psychrotolerans FAM 24236                 NZ_JBGQQG010000011.1  28656    30666    5.08   0              1              1              1              0              0              0              0            
Marinilactibacillus psychrotolerans FAM 20860                 NZ_JBGQQF010000030.1  17309    23002    13.25  0              1              1              1              1              1              1              1            
Marinilactibacillus psychrotolerans FAM 24233                 NZ_JBGQQH010000073.1  448      6141     13.25  0              1              1              1              1              1              1              1            
Marinilactibacillus psychrotolerans FAM 24231                 NZ_JBGQQJ010000031.1  5144     7157     5.08   0              1              1              1              0              0              0              0            
Marinilactibacillus psychrotolerans FAM 23993                 NZ_JBGQQM010000022.1  37807    39817    5.08   0              1              1              1              0              0              0              0            
Marinilactibacillus psychrotolerans FAM 24102                 NZ_JBGQQL010000028.1  8379     10389    5.08   0              1              1              1              0              0              0              0            
Marinilactibacillus psychrotolerans FAM 23631                 NZ_JBGQQO010000033.1  20341    26034    13.25  0              1              1              1              1              1              1              1            
Marinilactibacillus psychrotolerans FAM 23997                 NZ_JBGQQN010000024.1  11541    13551    5.08   0              1              1              1              0              0              0              0            
Marinilactibacillus psychrotolerans FAM 23995                 NZ_JBGQQP010000018.1  4033     14422    18.34  0              2              2              2              1              1              1              1            
Marinilactibacillus psychrotolerans FAM 24229                 NZ_JBGQQR010000028.1  26173    28183    5.08   0              1              1              1              0              0              0              0            
Listeria innocua SA_AR                                        NZ_JBJXVH010000001.1  923933   925928   5.12   0              1              1              1              0              0              0              0            
Staphylococcus aureus V0641                                   NZ_CP176564.1         1627946  1630391  4.06   0              1              1              0              1              0              0              0            
Listeria innocua GTVSS-019                                    NZ_CP176674.1         1793359  1795354  5.13   0              1              1              1              0              0              0              0            
[Clostridium] polysaccharolyticum DSM 1801                    NZ_FOHN01000003.1     38937    44698    3.04   0              1              0              0              1              0              1              0            
Marinilactibacillus psychrotolerans 42ea                      NZ_FUKW01000111.1     1712     3722     5.08   0              1              1              1              0              0              0              0            
Enterococcus durans NCTC8130                                  NZ_UGIP01000005.1     15459    21117    13.26  0              1              1              1              1              1              1              1            
Lactobacillus acidophilus NCTC13721                           UGNR01000002.1        462617   468179   13.15  0              1              1              1              1              1              1              1            
Lactobacillus crispatus C0020A5                               NZ_JAKHJA010000133.1  15       2430     7.06   0              0              1              1              1              1              0              0            
Lactobacillus crispatus UMB0932                               NZ_JASOVN010000065.1  503      3326     7.07   0              1              1              1              1              0              0              0            
Lactobacillus crispatus VMC4                                  LJGQ01000014.1        2697     8254     10.10  0              1              1              1              1              1              0              1            
Lactobacillus crispatus VSI08                                 NZ_CP118087.1         31567    39644    10.12  0              1              1              1              1              0              1              1            
Staphylococcus aureus NCTC12880                               NZ_UGZS01000001.1     2762767  2768372  10.14  0              1              1              0              1              1              1              1            
Staphylococcus aureus 41302682                                NZ_JAANBY010000014.1  77285    82031    8.12   0              0              1              0              1              1              1              1            
Staphylococcus aureus                                         DBDTVC010000005.1     692      3466     4.08   0              1              1              0              1              0              0              0            
Staphylococcus aureus Sample_7856_33A_18                      DAPXYC010000002.1     109485   114231   5.10   0              0              1              0              1              0              1              1            
Staphylococcus aureus                                         DBDSYQ010000069.1     1730     6363     8.12   0              1              1              0              1              1              1              0            
Staphylococcus aureus subspecies aureus                       DAMVJE010000002.1     488      4651     3.10   0              0              1              0              1              0              1              0            
Staphylococcus aureus subspecies aureus                       DAMVIS010000007.1     72398    77144    4.08   0              0              1              0              0              0              1              1            
Staphylococcus aureus B553                                    DAZCVJ010000002.1     216523   222128   8.12   0              1              0              0              1              1              1              1            
Staphylococcus aureus                                         DBDTBD010000069.1     0        4151     6.11   0              0              1              0              1              1              1              0            
Staphylococcus aureus subspecies aureus                       DAMVLA010000002.1     74111    79716    7.13   0              1              1              0              1              0              1              1            
Staphylococcus aureus                                         DAMQJX010000004.1     190330   195932   6.10   0              1              1              0              0              0              1              1            
Staphylococcus aureus                                         DAMECV010000002.1     160      5183     5.12   0              1              1              0              1              0              1              0            
Staphylococcus aureus subspecies aureus                       DAMVHV010000005.1     120804   126409   5.08   0              1              1              0              1              0              0              1            
Staphylococcus aureus NCTC7712                                NZ_UHBE01000001.1     1622283  1627893  7.13   0              1              1              0              1              0              1              1            
Staphylococcus aureus                                         DBDTDJ010000002.1     202174   207788   10.14  0              1              1              0              1              1              1              1            
Staphylococcus schweitzeri NCTC13712                          NZ_LR134304.1         1589407  1595020  10.15  0              1              1              0              1              1              1              1            
uncultured Oribacterium sp.                                   NZ_CABSXI010000079.1  83       1772     5.04   0              0              1              1              1              0              0              0            
Actinomyces naeslundii                                        NZ_CAJPQD010000014.1  32967    34929    5.04   0              1              1              1              0              0              0              0            
uncultured Lachnoclostridium sp.                              NZ_CALFNR010000201.1  352      6086     3.04   0              1              0              0              1              0              1              0            
Oribacterium sinus                                            NZ_CAUQUA010000010.1  56572    59336    7.06   0              1              1              1              1              0              0              0            
Actinomyces naeslundii                                        NZ_CAURHQ010000030.1  31170    33132    5.04   0              1              1              1              0              0              0              0            
Actinomyces naeslundii                                        NZ_CAUVQY010000010.1  84094    86056    5.04   0              1              1              1              0              0              0              0            
